#t(days)      M_bol           U             B            V           R            I             J          H           K
#
#  absolute magnitude  *  -1 
#
     13.47   1.7918e+01   1.8162e+01   1.8178e+01   1.8128e+01   1.7899e+01   1.7778e+01   1.4495e+01   1.0051e+01  -8.2279e+01 
     13.72   1.7851e+01   1.8044e+01   1.8093e+01   1.8105e+01   1.7862e+01   1.7759e+01   1.4404e+01   1.0005e+01  -8.2279e+01 
     13.97   1.7793e+01   1.7928e+01   1.8008e+01   1.8081e+01   1.7823e+01   1.7777e+01   1.4446e+01   9.6832e+00  -8.2279e+01 
     14.22   1.7725e+01   1.7774e+01   1.7914e+01   1.8053e+01   1.7792e+01   1.7782e+01   1.4373e+01   1.0532e+01  -8.2279e+01 
     14.47   1.7659e+01   1.7618e+01   1.7828e+01   1.8023e+01   1.7748e+01   1.7806e+01   1.4396e+01   9.8166e+00  -8.2279e+01 
     14.72   1.7601e+01   1.7443e+01   1.7750e+01   1.8016e+01   1.7704e+01   1.7811e+01   1.4384e+01   1.0121e+01  -8.2279e+01 
     14.97   1.7536e+01   1.7232e+01   1.7656e+01   1.7994e+01   1.7659e+01   1.7846e+01   1.4280e+01   1.0912e+01  -8.2279e+01 
     15.22   1.7478e+01   1.7011e+01   1.7573e+01   1.7980e+01   1.7619e+01   1.7862e+01   1.4335e+01   1.0628e+01  -8.2279e+01 
     15.47   1.7415e+01   1.6782e+01   1.7458e+01   1.7980e+01   1.7566e+01   1.7870e+01   1.4159e+01   1.1057e+01  -8.2279e+01 
     15.72   1.7367e+01   1.6575e+01   1.7358e+01   1.7985e+01   1.7537e+01   1.7881e+01   1.4143e+01   1.1525e+01  -8.2279e+01 
     15.97   1.7316e+01   1.6340e+01   1.7245e+01   1.7984e+01   1.7513e+01   1.7888e+01   1.4156e+01   1.1596e+01  -8.2279e+01 
     16.23   1.7274e+01   1.6167e+01   1.7126e+01   1.7995e+01   1.7478e+01   1.7902e+01   1.4231e+01   1.2020e+01  -8.2279e+01 
     16.48   1.7240e+01   1.5926e+01   1.6989e+01   1.8001e+01   1.7492e+01   1.7919e+01   1.4350e+01   1.2258e+01  -8.2279e+01 
     16.73   1.7203e+01   1.5742e+01   1.6852e+01   1.8002e+01   1.7491e+01   1.7926e+01   1.4306e+01   1.2493e+01  -8.2279e+01 
     16.98   1.7195e+01   1.5589e+01   1.6731e+01   1.8025e+01   1.7540e+01   1.7926e+01   1.4412e+01   1.2702e+01  -8.2279e+01 
     17.23   1.7175e+01   1.5389e+01   1.6590e+01   1.8020e+01   1.7581e+01   1.7942e+01   1.4454e+01   1.2898e+01  -8.2279e+01 
     17.48   1.7174e+01   1.5228e+01   1.6452e+01   1.8034e+01   1.7646e+01   1.7947e+01   1.4660e+01   1.3203e+01  -8.2279e+01 
     17.73   1.7174e+01   1.5039e+01   1.6301e+01   1.8021e+01   1.7731e+01   1.7961e+01   1.4774e+01   1.3275e+01  -8.2279e+01 
     17.98   1.7166e+01   1.4895e+01   1.6156e+01   1.8000e+01   1.7771e+01   1.7965e+01   1.4992e+01   1.3507e+01  -8.2279e+01 
     18.23   1.7169e+01   1.4651e+01   1.6019e+01   1.7973e+01   1.7844e+01   1.7956e+01   1.5034e+01   1.3643e+01  -8.2279e+01 
     18.48   1.7165e+01   1.4522e+01   1.5877e+01   1.7931e+01   1.7876e+01   1.7966e+01   1.5307e+01   1.3802e+01  -8.2279e+01 
     18.73   1.7151e+01   1.4348e+01   1.5749e+01   1.7869e+01   1.7891e+01   1.7959e+01   1.5468e+01   1.4076e+01  -8.2279e+01 
     18.98   1.7137e+01   1.4132e+01   1.5586e+01   1.7818e+01   1.7905e+01   1.7953e+01   1.5573e+01   1.4110e+01  -8.2279e+01 
     19.23   1.7115e+01   1.4076e+01   1.5485e+01   1.7740e+01   1.7891e+01   1.7941e+01   1.5764e+01   1.4248e+01  -8.2279e+01 
     19.48   1.7093e+01   1.3842e+01   1.5370e+01   1.7668e+01   1.7866e+01   1.7941e+01   1.5946e+01   1.4291e+01  -8.2279e+01 
     19.73   1.7080e+01   1.3705e+01   1.5262e+01   1.7613e+01   1.7861e+01   1.7946e+01   1.6047e+01   1.4343e+01  -8.2279e+01 
     19.98   1.7063e+01   1.3647e+01   1.5167e+01   1.7559e+01   1.7833e+01   1.7952e+01   1.6163e+01   1.4498e+01  -8.2279e+01 
     20.23   1.7037e+01   1.3451e+01   1.5079e+01   1.7489e+01   1.7798e+01   1.7931e+01   1.6280e+01   1.4568e+01  -8.2279e+01 
     20.48   1.7022e+01   1.3375e+01   1.5021e+01   1.7431e+01   1.7779e+01   1.7918e+01   1.6375e+01   1.4665e+01  -8.2279e+01 
     20.73   1.7000e+01   1.3313e+01   1.4930e+01   1.7358e+01   1.7744e+01   1.7922e+01   1.6423e+01   1.4691e+01  -8.2279e+01 
     20.98   1.6979e+01   1.3142e+01   1.4863e+01   1.7298e+01   1.7713e+01   1.7921e+01   1.6567e+01   1.4743e+01  -8.2279e+01 
     21.23   1.6962e+01   1.3198e+01   1.4763e+01   1.7253e+01   1.7687e+01   1.7919e+01   1.6622e+01   1.4729e+01  -8.2279e+01 
     21.48   1.6918e+01   1.3139e+01   1.4691e+01   1.7146e+01   1.7629e+01   1.7889e+01   1.6680e+01   1.4766e+01  -8.2279e+01 
     21.73   1.6037e+01   1.2546e+01   1.3964e+01   1.6107e+01   1.6672e+01   1.7096e+01   1.5809e+01   1.4227e+01  -8.2279e+01 
     21.98   1.3824e+01   1.1570e+01   1.2882e+01   1.4033e+01   1.3974e+01   1.5262e+01   1.1593e+01   1.1509e+01  -8.2279e+01 
     22.23   1.1773e+01   1.0211e+01   1.1005e+01   1.1264e+01   1.0342e+01   1.3824e+01   8.3934e+00  -8.2506e+01  -8.2279e+01 
     22.48   9.5997e+00   8.1077e+00   7.8064e+00  -8.6463e+01   7.1560e+00   1.1975e+01   5.0307e+00  -8.2506e+01  -8.2279e+01 
     22.73   6.7734e+00   5.5622e+00   6.1813e+00  -8.6463e+01   4.1256e+00   8.9269e+00  -8.2932e+01  -8.2506e+01  -8.2279e+01 
