 73.0    4.007  3.709  2.903  2.723  2.213
 74.0    4.035  3.731  2.932  2.754  2.241
 75.0    4.064  3.753  2.961  2.784  2.269
 76.0    4.092  3.776  2.990  2.815  2.296
 77.0    4.121  3.798  3.019  2.845  2.324
 78.0    4.149  3.820  3.048  2.876  2.352
 79.0    4.177  3.842  3.077  2.906  2.379
 80.0    4.206  3.865  3.106  2.937  2.407
 81.0    4.234  3.887  3.135  2.967  2.435
 82.0    4.263  3.909  3.164  2.998  2.462
 83.0    4.291  3.931  3.193  3.028  2.490
 84.0    4.319  3.954  3.222  3.059  2.518
 85.0    4.348  3.976  3.251  3.089  2.546
 86.0    4.376  3.998  3.280  3.120  2.573
 87.0    4.404  4.020  3.308  3.150  2.601
 88.0    4.433  4.043  3.337  3.181  2.629
 89.0    4.461  4.065  3.366  3.211  2.656
 90.0    4.490  4.087  3.395  3.242  2.684
 91.0    4.518  4.109  3.424  3.272  2.712
 92.0    4.546  4.132  3.453  3.303  2.739
 93.0    4.575  4.154  3.482  3.333  2.767
 94.0    4.603  4.176  3.511  3.364  2.795
 95.0    4.632  4.198  3.540  3.394  2.822
 96.0    4.660  4.221  3.569  3.425  2.850
 97.0    4.688  4.243  3.598  3.455  2.878
 98.0    4.717  4.265  3.627  3.486  2.905
 99.0    4.745  4.288  3.656  3.516  2.933
100.0    4.774  4.310  3.685  3.547  2.961
