# jd_expl= 2453549.0
# missing data interp 1
# _filter= V
# ABtot= 0.156538593538
# 
1.994062432432578760e+02 1.935310133986733661e+01
2.004061891892043832e+02 1.935035850408732827e+01
2.014061351351509188e+02 1.934797767419977532e+01
2.024060810810974260e+02 1.934601815145163428e+01
2.034060270270439617e+02 1.934453265229880259e+01
2.044059729729904973e+02 1.934356599878084282e+01
2.054059189189370045e+02 1.934315406043170071e+01
2.064058648648835401e+02 1.934332334458565228e+01
2.074058108108300758e+02 1.934409147401888163e+01
2.084057567567765830e+02 1.934546844422378342e+01
2.094057027027231186e+02 1.934745817534035339e+01
2.104056486486696258e+02 1.935005966890603091e+01
2.114055945946161614e+02 1.935326717238255512e+01
2.124055405405626971e+02 1.935706911601329594e+01
2.134054864865092043e+02 1.936144605701855070e+01
2.144054324324557399e+02 1.936636824844303106e+01
2.154053783784022755e+02 1.937179360490167213e+01
2.164053243243487827e+02 1.937766673120802352e+01
2.174052702702953184e+02 1.938391937887053373e+01
2.184052162162418256e+02 1.939047232612410809e+01
2.194051621621883612e+02 1.939723837136285312e+01
2.204051081081348968e+02 1.940412597569396524e+01
2.214050540540814040e+02 1.941104310585418347e+01
2.224050000000279397e+02 1.941790096603406113e+01
2.234049459459744753e+02 1.942461748111387720e+01
2.244048918919209825e+02 1.943112051910537019e+01
2.254048378378675181e+02 1.943735086217165886e+01
2.264047837838140254e+02 1.944326484565964108e+01
2.274047297297605610e+02 1.944883642563118187e+01
2.284046756757070966e+02 1.945405828959902195e+01
2.294046216216536038e+02 1.945894158815243813e+01
2.304045675676001395e+02 1.946351400484961758e+01
2.314045135135466467e+02 1.946781619484373849e+01
2.324044594594931823e+02 1.947189701463986111e+01
2.334044054054397179e+02 1.947580827984404550e+01
2.344043513513862251e+02 1.947959988399668774e+01
2.354042972973327608e+02 1.948331594614061046e+01
2.364042432432792964e+02 1.948699230879315891e+01
2.374041891892258036e+02 1.949065533699333486e+01
2.384041351351723392e+02 1.949432171337532438e+01
2.394040810811188464e+02 1.949799884438111874e+01
2.404040270270653821e+02 1.950168556452682367e+01
2.414039729730119177e+02 1.950537297774419798e+01
2.424039189189584249e+02 1.950904543078442543e+01
2.434038648649049605e+02 1.951268171472303337e+01
2.444038108108514962e+02 1.951625660253631978e+01
2.454037567567980034e+02 1.951974274948783616e+01
2.464037027027445390e+02 1.952311284316257556e+01
2.474036486486910462e+02 1.952634176124589871e+01
2.484035945946375818e+02 1.952940845239162115e+01
2.494035405405841175e+02 1.953229733146137548e+01
2.504034864865306247e+02 1.953499913950083311e+01
2.514034324324771603e+02 1.953751137933471327e+01
2.524033783784236959e+02 1.953983852432094181e+01
2.534033243243702032e+02 1.954199218032601948e+01
2.544032702703167388e+02 1.954399127553462989e+01
2.554032162162632460e+02 1.954586220192173229e+01
2.564031621622098100e+02 1.954763869054514913e+01
2.574031081081562888e+02 1.954936113282821353e+01
2.584030540541028245e+02 1.955107512097808353e+01
2.594030000000493601e+02 1.955282919250620211e+01
2.604029459459958957e+02 1.955467206330885332e+01
2.614028918919424314e+02 1.955664987644139075e+01
